Código;Nome;Endereço;Telefone;Data de cadastro;Tipo de cliente;CPF/CNPJ;Inscrição estadual
7203;Wilson;Av. Fernando Ferrari, 406;3045-1234;30/06/2014;F;123.123.123-12;
10950;José;Rua Josex;3026-7777;12/12/2012;F;100.110.111-01;
2400;Gustavo;Beco do bizinho;99202-0299;01/03/2012;F;150.160.170-80;
5378;Pedro;Peter’s street;99987-6543;08/10/2013;F;456.678.789-10;
9999;Acme Corp.;Rua ladrilhada;3002-4000;27/02/2014;J;12.330.440/0025-29;548
3241;Nemo;P. Sherman, 42 Wallaby Way, Sydney;3322-2526;13/07/2010;F;221.678.461-93;
2203;Java Dev;Rua da terra molhada;3055-6800;16/09/2013;J;65.148.369/0010-73;375
0001;Batman;Caverna secreta;90000-0666;01/01/2001;F;799.903.341-56;
2378;Tommy;Alameda dos anjos;3045-5403;28/10/2011;F;144.317.896-77;
8792;Bob;Fenda do biquini;3444-0921;06/05/2013;F;211.544.128-46;
