Cliente;Tipo;CPF/CNPJ;Telefone;Data de cadastro;Total a pagar
Amanda;F;565.565.565-56;111-2222;22/10/2006;R$ 7,77
Caio;F;989.989.989-98;000-1111;22/10/2005;R$ 6,00
HUI Construtora;J;43.434.434/4343-43;777-6666;19/05/2012;R$ 3.150,00
Igor;F;212.212.212-21;555-4444;15/08/2014;R$ 17,60
JIJ Sorveteria;J;878.878.878.-87;999-8888;22/10/2004;R$ 37,50
Lucas;F;757.757.575-57;222-3333;22/10/2007;R$ 10,00
Matheus;J;32.323.323/3232-32;666-5555;24/11/2004;R$ 7,20
Renan;F;101.101.101-10;444-3333;11/05/2013;R$ 12,00
Tadeu;F;959.965.959-95;333-4444;22/10/2008;R$ 0,80
Vítoria;F;545.545.545-54;888-7777;22/10/2003;R$ 27,10
