Código;Nome;Endereço;Telefone;Data de cadastro;Tipo de cliente;CPF/CNPJ;Inscrição estadual
1;Davi;Rua 1;1234-5678;28/02/2012;F;111.111.111-11;
2;Rodolfo;Rua 2;5678-1234;30/04/2012;F;222.222.222-22;
3;LeoComp;Rua 3;2345-1234;08/04/2013;J;33.333.333/0001-33;12345
4;RaissaCakes;Avenida 4;7654-9876;09/01/2014;J;44.444.444/0001-44;67890
5;Janaína;Avenida 5;8675-4321;27/02/2014;F;555.666.777-88;
6;Pâmella;Avenida 6;7685-3431;31/12/2013;F;666.666.666-66;
7;Igor;Alameda 7;5748-4374;29/11/2013;F;777.888.999-99;
8;Renan;Alameda 8;7584-4341;14/07/2013;F;888.999.101-01;
9;Pró-Labore;Alameda 9;5453-1231;20/08/2013;J;99.101.111/1212-13;10111
10;Lelp-Tech;Rodovia 10;5453-3423;09/02/2014;J;11.111.121/1414-15;12131
11;PET EngComp;Rodovia 11;3534-5234;08/04/2014;J;11.121.131/1515-16;15161
