Cliente;Tipo;CPF/CNPJ;Telefone;Data de cadastro;Total a pagar
Alberto;F;556.551.553-53;555-6756;08/09/2012;R$ 14,96
Berilhes;F;224.245.252-26;555-2324;05/06/2011;R$ 99,89
Celso;F;556.556.500-00;555-5671;01/10/2014;R$ 50,05
DD;F;134.451.123-11;555-3453;01/08/2014;R$ 2,97
Monalessa;J;23.343.433/0001-33;555-4564;11/03/2014;R$ 40,61
Orivaldo;F;242.252.272-22;555-7688;01/02/2013;R$ 12,75
Patrícia;J;40.40.440/0001-44;555-1239;23/05/2011;R$ 6,16
Rosane;F;141.141.161-11;555-6546;19/04/2013;R$ 52,60
Varejão;J;43.335.343/0001-33;555-2345;01/05/2013;R$ 51,30
ZéGonçalves;J;54.644.474/0001-44;2133-2196;02/06/2014;R$ 82,05
