Cliente;Tipo;CPF/CNPJ;Telefone;Data de cadastro;Total a pagar
ABCD Produções;J;13.131.313/0001-33;333-7823;24/02/2014;R$ 7,68
Ana;F;404.404.404-40;333-9899;28/04/2014;R$ 0,00
Camila;F;606.606.606-60;333-9645;03/12/2013;R$ 19,26
Esthevão;F;202.202.202-20;333-8426;04/10/2013;R$ 13,44
Lockart/Gardner;J;16.161.616/0001-66;333-0320;09/02/2014;R$ 5,00
NEAL Consultoria;J;14.141.414/0001-44;333-0263;13/03/2014;R$ 25,00
Nicoli Contabilidade;J;15.151.515/0001-55;333-7412;05/04/2014;R$ 45,00
PM Projetos;F;101.101.101-10;333-1793;21/04/2014;R$ 19,41
Pedro;F;505.505.505-50;333-3300;18/09/2013;R$ 12,00
Sérgio;F;303.303.303-30;333-4664;02/11/2013;R$ 3,92
