Código;Nome;Endereço;Telefone;Data de cadastro;Tipo de cliente;CPF/CNPJ;Inscrição estadual
3212;Alfredo;Rua 5;555-2636;01/02/2013;F;123.456.789-12;
6787;Deise;Rua 21;555-2589;13/07/2012;F;312.627.911-92;
4565;Carlos;Rua 40;555-0696;10/05/2013;F;392.201.381-32;
1209;Farmácia Drogasil;Rua 10;555-7457;08/09/2013;J;45.927.027/0004-32;17862
3267;Paulo;Rua 31;555-3219;31/08/2011;F;314.159.265-754;
4321;Eliane;Rua 4;555-3839;25/07/2012;F;218.412.467-03;
6754;Hamburgão Lanches;Rua 13;555-9219;14/01/2014;J;13.432.820/0002-17;73441
2112;Wanderléia;Rua 7;555-1729;17/12/2012;F;928.411.635-27;
3658;Quilão Hortifruti;Rua 6;555-2181;23/03/2014;J;41.416.679/0001-20;51244
1105;Maria;Rua 14;555-8600;14/04/2012;F;767.456.768-78;
