Código;Nome;Endereço;Telefone;Data de cadastro;Tipo de cliente;CPF/CNPJ;Inscrição estadual
5050;A Gazeta;Rua 4;258-2122;04/02/2014;J;22.222.202/0002-34;54321
5000;Globo;Rua 100;258-1568;05/09/2013;J;34.212.202/0002-36;10254
5001;Talitaneri;Rua 33;258-1469;04/07/2013;F;101.221.525-26;
5010;Arhur;Rua 3;258-1413;20/08/2014;F;100.200.500-25;
5122;UVV;Rua 55;258-5263;10/10/2013;J;22.100.500/0010-56;98745
5100;APAE;Rua 10;256-2456;10/11/2014;J;21.110.555/0006-52;58526
5022;A Arte;Rua 55;255-2126;25/02/2013;J;56.200.201/0005-31;13256
5200;Mania Digital;Rua 33;256-5623;12/12/2013;J;54.301.252/0055-20;25698
5123;Gustavo;Rua 10;258-1396;15/11/2014;F;104.223.506-23;
5014;Fernando;Rua 4;255-1562;23/08/2014;F;230.100.420-33;
