Cliente;Tipo;CPF/CNPJ;Telefone;Data de cadastro;Total a pagar
A Arte;J;56.200.201/0005-31;255-2126;25/02/2013;R$ 0,00
A Gazeta;J;22.222.202/0002-34;258-2122;04/02/2014;R$ 117,72
APAE;J;21.110.555/0006-52;256-2456;10/11/2014;R$ 104,40
Arhur;F;100.200.500-25;258-1413;20/08/2014;R$ 0,00
Fernando;F;230.100.420-33;255-1562;23/08/2014;R$ 0,00
Globo;J;34.212.202/0002-36;258-1568;05/09/2013;R$ 296,70
Gustavo;F;104.223.506-23;258-1396;15/11/2014;R$ 0,00
Mania Digital;J;54.301.252/0055-20;256-5623;12/12/2013;R$ 0,00
Talitaneri;F;101.221.525-26;258-1469;04/07/2013;R$ 86,88
UVV;J;22.100.500/0010-56;258-5263;10/10/2013;R$ 0,00
